Büfe Adı,İlçe,Mahalle,Adres,(B)üfe / (S)atış Noktası
Arnavutköy Merkez,ARNAVUTKÖY,Arnavutköy Merkez,Arnavutköy merkez ilkoğretim yanı.Yıldırım Beyazıt cd. ARNAVUTKÖY,B
Boğazköy coşkun büfe,ARNAVUTKÖY,Boğazköy Merkez,Arnavutköy merkez ilkoğretim yanı.Yıldırım beyazıt cd,B
Hadımköy toki büfe,ARNAVUTKÖY,Hadımköy,"Cahit sıtkı tarancı cd,toki çarşı yanı",B
Haraççı büfe,ARNAVUTKÖY,karlıbayır mah.,Rıza bey sk no 7,B
ELÇİ MARKET,ARNAVUTKÖY,,ADNAN MENDERES MAH. AYDIN TUH.SK. NO 3,S
AKGÜL MARKET,ARNAVUTKÖY,ANADOLU MAH,ANADOLU MAH. HÜDA SK.NO 5/A1,S
AKTAŞ GIDA,ARNAVUTKÖY,YAVUZ SELİM MAH,YAVUZ SELİM MAH.TÜRKİYE CAD NO:53-1,S
ASMAR MARKET,ARNAVUTKÖY,YAVUZ SELİM MAH,KIBRIS CD NO 3,S
BAYINDIR SÜPER MARKET,ARNAVUTKÖY,BOĞAZKÖY MERKEZ MAH,FEVZİ ÇAKMAK CD,S
ÇAY MARKET,ARNAVUTKÖY,ÖMERLİ MAH.,TERME SK.KİPTAŞ KONUTLARI ÇARŞI NO 13,S
ÇELİK MEGA MARKET,ARNAVUTKÖY,İSLAMBEY MAH,BOSNA CADDESİ 24/A,S
ÇONTAYLAR SAT.NOK,ARNAVUTKÖY,,İMRAHOR KÖYÜ BARBAROS CAD. NO:14,S
DAŞCİ GIDA,ARNAVUTKÖY,ANADOLU MAH,N. FAZIL CD NO 71/A1,S
DİRHEM GIDA,ARNAVUTKÖY,BOĞAZKÖY,MİLLİ EGEMENLİK CD NO 37,S
EMRE GIDA,ARNAVUTKÖY,ANADOLU MAH.,HÜDA SK.NO 5/A1,S
EMRE HİPERMARKET,ARNAVUTKÖY,HARAÇÇI KARLIBAYIR MAH,3010 CD NO,S
HUZUR KASAP 3,ARNAVUTKÖY,KARLIBAYIR MAH.,KARLIBAYIR MAH.KIZILERİK SK. NO:25,S
MERT GIDA,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL MAH.,BOĞAZKÖY İSTİKLAL MAH.MİLLİ EGEMENLİK C AD.NO:103A/1 /ARNAVUTKÖY,S
ÖREN MARKET,ARNAVUTKÖY,MUSTAFA KEMALPAŞA MAH.,MUSTAFA KEMALPAŞA MAH. FENER SK. NO:9/1,S
PERMAR GIDA,ARNAVUTKÖY,YAVUZ SELİM MAH.,MEHMET SEVBAN CAD.NO:72/A/ARNAVUTKÖY,S
SARIKAYA MARKET,ARNAVUTKÖY,HİCRET MAH,LİMON ÇİÇEĞİ SK. NO 15,S
SAYGILI GIDA,ARNAVUTKÖY,HASTANE MAH,KORU SK NO 29,S
SOYSAL GIDA,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH.,MUSTAFA KEMAL PAŞA MAH. YÖRE SK. NO:34,S
SÜTÇÜ ALAEDDİN,ARNAVUTKÖY,HARAÇÇI,HARAÇÇI MAH.HADIMKÖY YOLU CAD.NO:28/1,S
YILDIZ MARKET,ARNAVUTKÖY,,PİRİNÇÇİ MAH PİRİNÇÇİ KÖYÜ YOLU SK NO 113,S
ZENGİN MARKET,ARNAVUTKÖY,İMRAHOR KÖYÜ,BARBAROS CAD. NO:14,S
ABDULKADİR KAYA - FETİH BÜFE,ATAŞEHİR,FETİH,FETİH MAH.MAREŞAL FEVZİ ÇAKMAK İLE,B
ADEM DEMİR-ESATPAŞA BÜFE,ATAŞEHİR,ESATPAŞA,ESATPAŞA MAH.ZİYA PAŞA CAD.HACIBEKİR,B
AHMET GÜNER-ATAŞEHİR SU DEPOSU,ATAŞEHİR,KAYIŞDAĞI,KAYIŞDAĞI CADDESİ KIRMIZI SÜMBÜL SOKAK KESİŞİMİ,B
BATANAY BÜFE - NURETTİN ARICI,ATAŞEHİR,ÖRNEK,,B
CANAN TAŞCI-ÖRNEK BÜFE,ATAŞEHİR,ÖRNEK,ÖRNEK MAH.35.CAD. H.REİS İETT DURAĞI YANI,B
DAVUT VARICI-ATAŞEHİR FİDAN BÜFE,ATAŞEHİR,İNÖNÜ,İNÖNÜ MAH.KAİNAT CAD. NO:31/5,B
FATMA DOYMUŞ -FERHATPAŞA BÜFE,ATAŞEHİR,FERHATPAŞA,FERHATPAŞA MAH.MARAŞAL FEVZİ ÇAKMAK CD.İLE 25.SK. KESİŞİMİ,B
FİLİZ ULUÇAY-YEŞİLYAMAÇ BÜFE,ATAŞEHİR,YENİŞEHİR,YENİ ÇAMLICA MAH. TÜRKİŞ BLOKLARI,B
HATİCE AYDIN-ÇİFTLİKYOLU BÜFE,ATAŞEHİR,İÇERENKÖY,KARAMAM ÇİFTLİKYOLU ESTON BLOKLARI YANI,B
KAZIM USTA - KOZYATAĞI METRO BÜFE,ATAŞEHİR,İÇERENKÖY,ATAŞEHİR D100 KARAYOLU CARREFOUR MEVKİİ,B
KEMAL ÇELİK-ATAŞEHİR MERKEZ,ATAŞEHİR,BATI ATAŞEHİR,ATAŞEHİR BULVARI GARDENYA PLAZA ÖNÜ,B
KERİM AKBULUT-KÖŞEM BÜFE,ATAŞEHİR,İÇERENKÖY,İÇERENKÖY MAH.ALANALDI CAD.NO:1/B,B
MENEKŞE AKYOL-TÜRKİŞ MERKEZ BÜFE,ATAŞEHİR,MEVLANA,TÜRKİŞ BLOKLARI 7302.PARSEL ÖNÜ,B
SALAHİDDİN KİMYON-ATAŞEHİR YEDİTEPE,ATAŞEHİR,KAYIŞDAĞI,KAYIŞDAĞI MAH.YAVUZBEY SOKAK GİRİŞİ,B
ŞABAN YILDIRIM - BOSTANCI KÖPRÜ,ATAŞEHİR,İÇERENKÖY,KÜÇÜKBAKKALKÖY MAH. AĞA SOK. 4/5,B
TEVFİK YILDIZ-K.BAKKALKÖY MERKEZ,ATAŞEHİR,KÜÇÜKBAKKALKÖY,TEVFİK FİKRET CAD.KASTELLİ BLOKLARI,B
YAŞAR ÖZEK-MALAZGİRT BÜFE,ATAŞEHİR,MEVLANA,MEVLANA MH. KIBRIS. CD NO:34,B
ZUHNİYE ÖLÇER-KAYIŞDAĞI KAR BÜFE,ATAŞEHİR,İNÖNÜ,KAYIŞDAĞI CAD. KAR SOKAK GİRİŞİ,B
BEZİRGANBAŞI GIDA,ATAŞEHİR,KAYIŞDAĞI MAH.,KAYIŞDAĞI CAD. USLU CAD. NO:90 /10 ATAŞEHİR,S
HASKÖY PEYNİRCİLİK,ATAŞEHİR,BARBAROS MAH.,BARBAROS MAH.MİMARSİNAN CD.NO 101,S
SESA PASTANESİ,ATAŞEHİR,YENİSAHRA MAH.,YENİSAHRA FATİH CAD. NO.27,S
ÜÇLER GIDA,ATAŞEHİR,M.KEMAL MAH.,M.KEMAL MAH.3004 CD.NO 37,S
ÜNLÜ GIDA,ATAŞEHİR,YENİÇAMLICA,YENİ ÇAMLICA MAH SEVİLAY SK.27 A ATAŞEHİR,S
Avcılar Geçit büfe,AVCILAR,Üniversite mah.,Pelikan mall alışveriş merkezi önü e-5 üst geşit altı,B
Avcılar Merkez,AVCILAR,Ambarlı,Avcılar merkez Belediye Meydanı yanı,B
FİRÜZKÖY BÜFE,AVCILAR,FİRÜZKÖY MAH.,FİRÜZKÖY HASAN ÖNAL CD 189 ADA BOŞ ARSA ÖNÜ,B
Gümüşpala,AVCILAR,Gümüşpala,DENİZKÖŞKLERİ MH.ZAFER CD.ÜST GEÇİT ALTI,B
İNSA BÜFE,AVCILAR,AMBARLI MAH.,AMBARLI MH.FEVZİ ÇAKMAK CD.AMBARLI İETT DURAĞI YANI,B
CİHANGİR MARKET,AVCILAR,,CİHANGİR MAH TALATPAŞA CD DAMLA SK,S
EKLER CITY,AVCILAR,MER.MH,NAMIK KEMAL CD. NO.59,S
HANEDAN GIDA,AVCILAR,TAHTAKALE MAH.,ÖZGÜRLÜK SK. NO:12,S
İDEM ET GIDA,AVCILAR,MERKEZ MAH.,AVCILAR METROBÜS DURAĞI ÜST GEÇİT ALTI,S
İKLİM ZEYTİNCİLİK,AVCILAR,ÜNİVERSİTE MAH,İSTİKLAL CD.NO 7,S
KARABACAK MARKET,AVCILAR,TAHTAKALE MAH,YOLUÇ CD. NO 40,S
KISMET GIDA,AVCILAR,FİRÜZKÖY MAH,PLEVNE CDNO 42,S
KIZÇELER MARKET,AVCILAR,FÜRUZKÖY MAH,FÜRUZKÖY MAH YURTSEVEN SK ŞAHİN APT NO:10/B,S
KONUT YAPI ÖZ,AVCILAR,CİHANGİR MH,MEŞRUTİYET CD.DEMİRCİ SK.NO.18,S
MİS MARKET,AVCILAR,DENİZKÖŞKLER MAH,İYİBAŞ SK NO 26,S
OSMANLI MARKET,AVCILAR,YEŞİLKENT MAH,725 SK NO=23/1-A,S
ÖZGÜR MARKET,AVCILAR,DENİZKÖŞKLER MAH.,DENİZKÖŞKLER MAH.SERÇE SK. NO:18/1,S
SAĞLAM AİLE BAKKALİYESİ,AVCILAR,M.KEMAL PAŞA MAH,MAHİR SK NO 66/1,S
TRUVA MARKET,AVCILAR,CİHANGİR MAH.,CİVA CD NO 22,S
YILDIZ SU VE MARKET,AVCILAR,CİHANGİR MH,ÜZENGİ SK NO 24,S
YÜKSEL HALK EKMEK,AVCILAR,GÜMÜŞPALA MAH.,KURUÇEŞME CD KUTLU SK.NO 1,S
AHİ EVREN OKULU BÜFE (E),BAĞCILAR,Evren,istiklal caddesi ahi evren anadolu imamhatip okulu önü,B
BAĞCILAR 1 BÜFE,BAĞCILAR,,100.YIL MAH BARBOROS CD 2142 SK NO 35 YANI,B
BAĞCILAR BÜFE (E),BAĞCILAR,Sancaktepe,1. Sokak,B
DAĞYOLU BÜFE (E),BAĞCILAR,Fevzi Çakmak,osmangazi caddesi dağyolu parkı önü,B
GÜNEŞLİ BÜFE (E),BAĞCILAR,Merkez,cumhuriyet caddesi güneşli merkez camii karşısı,B
HAVUZ BÜFE (E),BAĞCILAR,Kemalpaşa,namık kemal caddesi kemalpaşa semt yüzme havuzu önü,B
HÜRRİYET BÜFE (E),BAĞCILAR,Hürriyet,Emre sokak Hacı Mehmet Camii yanı,B
KİRAZLI BÜFE (E),BAĞCILAR,Yeni,bağcılar asfaltı caddesi 100. yıl kemalpaşa polis karakolu karşısı,B
KURTDERELİ OKUL BÜFE (E),BAĞCILAR,Güneşli,evren caddesi kurtdereli mehmet ortaokulu önü,B
MEDİCANA HOSPİTAL BÜFE (E),BAĞCILAR,Kirazlı,hoca ahmet yesevi caddesi pazaryolu 1. sokak kesişimi,B
NACİ EKŞİ OKUL BÜFE (E),BAĞCILAR,çınar,esenler caddesi dr. kemal naci ekşi anadolu lisesi karşısı,B
ULU CAMİİ BÜFE (E),BAĞCILAR,Yıldıztepe,bağcılar caddesi yeşilbağ ulu camii önü,B
YILDIZTEPE BÜFE (E),BAĞCILAR,Yıldıztepe,Bağcılar caddesi yıldıztepe ilköğretim okulu önü,B
AHMET TOPKAYA-BAYİ (E),BAĞCILAR,YENİ MAH.,DÖKÜMCÜLER CAD.FATİH SİTESİ NO:2,S
AKSU GIDA (E),BAĞCILAR,SANCAKTEPE MAH.,948. SK. NO: 1 A,S
AYLİN DEMİR GIDA (E),BAĞCILAR,KAZIM KARABEKİR MAH.,PAZAROLU CD NO:42/A BAĞCILAR,S
BARIŞ MARKET (E),BAĞCILAR,EVREN MAH.,FEVZİ ÇAKMAK CAD.18.SK.NO:27/C,S
CENGİZHAN GIDA (E),BAĞCILAR,EVREN MAH.,İSTİKLAL CAD. NO: 62/A,S
ÇETİN KALA-GIDA (E),BAĞCILAR,KİRAZLI MAH.,CENGİZ SOK. NO:5,S
ÇİÇEN GIDA (E),BAĞCILAR,YILDIZTEPE MAH.,35/10 SOK.NO:3/A,S
ÇİÇEN MİNİ MARKET (E),BAĞCILAR,YAVUZSELİM MAH.,1047 SOK.NO:32/4,S
DENİZ KURUYEMİŞ (E),BAĞCILAR,İNÖNÜ MAH.,ŞEHİT YILMAZ KAAN CADDESİ NO: 30/1,S
DOĞAN VARAN GIDA (E),BAĞCILAR,ÇINAR MAH.,749. SOK. NO:4/10 BAĞCILAR/İSTANBUL,S
ELİF KURUYEMİŞ (E),BAĞCILAR,K.SİNAN MERKEZ MAH.,MUMCU SOK.ÖZBAYLAR C BLOK 8/16 BAHÇELİEVLER/İSTANBUL,S
EMİR MARKET (E),BAĞCILAR,ÇINAR MAH.,6/1 SK NO:7,S
FAHRİ KARA-BAYİ (E),BAĞCILAR,HÜRRİYET MAH.,MENDERES CAD.34 A,S
GURME MALATYA PAZARI,BAĞCILAR,100 YIL MAH,100 YIL MAH.MUSTAFA KEMAL CAD.NO:17/A,S
GÜLCAN COŞKUN-BAYİİ (E),BAĞCILAR,15 TEMMUZ MAH.,1442. SK. NO:2/1A,S
HACER KAMURAN DEMİRÖZ-BAYİ (E),BAĞCILAR,KİRAZLI MAH.,1128 SOK. 22 A,S
IRMAK MARKET (E),BAĞCILAR,MAHMUTBEY MAH.,KARAOĞLANOĞLU CAD.NO:24/A,S
KARDEŞLER GIDA (E),BAĞCILAR,KİRAZLI MAH.,KİRAZLI MAH. CEVİZLİ SOK. NO:1 OTOPARK İÇİ,S
KÜÇÜKLER MARKET (E),BAĞCILAR,DEMİRKAPI MAH.,BUHARA SOK. NO: 12/B,S
MERCANLAR LOKUM BAYİ (E),BAĞCILAR,FATİH MAH.,CAMİ CAD. 1838. SK. NO.5/A,S
ÖZTÜRK GIDA (E),BAĞCILAR,GÜNEŞLİ MH.,EVREN CAD. YAVUZ SOK. NO:59 BAĞCILAR/İSTANBUL,S
SABAHATTİN ÖNAL-BAYİ (E),BAĞCILAR,ÇINAR MAH.,781. SOK. NO:47/A,S
ÜÇLER MARKET (E),BAĞCILAR,HÜRRİYET MAH.,VİŞNE SOK.NO:17,S
YAMAN UNLU MAMÜLLERİ (E),BAĞCILAR,İNÖNÜ MAH,381. SK. NO.11,S
AKELİF BÜFE (E),BAHÇELİEVLER,Zafer,Okul yolu caddesi halit ziya uşakligil ilkokulu önü,B
BAĞLAR SELGİZ BÜFE (E),BAHÇELİEVLER,Kocasinan,Hastane caddesi ile ordu caddesi kesişimi bahçelievler devlet hastanesi yanı,B
ÇOBANÇEŞME BÜFE (E),BAHÇELİEVLER,Fevzi çakmak,Fatih caddesi ile başgil sokak kesişimi,B
DİLBER BÜFE (E),BAHÇELİEVLER,Zafer,Ahmet yesevi caddesi öğretmenler parkı önü,B
HAZNEDAR BÜFE (E),BAHÇELİEVLER,bahçelievler,bağcılar caddesi haznedar meydan,B
KADİR HAS BÜFE (E),BAHÇELİEVLER,Bahçelievler,"Bahçelievler metrobüs durağı çıkışı, kültür sokak, Kadir has avm önü",B
KAYA BÜFE (E),BAHÇELİEVLER,Hürriyet,Ahmet yesevi caddesi ile güneşli sokak kesişimi,B
KOCASİNAN BÜFE (E),BAHÇELİEVLER,Kocasinan,Mahmutbey caddesi ile söğüt sokak kesişimi,B
KOCASİNAN PARK BÜFE (E),BAHÇELİEVLER,Şirinevler,Şirinevler Fetih Cad. Fetih Park İçi,B
MAHMUTBEY YOLU BÜFE (E),BAHÇELİEVLER,Kocasinan Merkez,Mahmutbey Cad. No:250,B
MASLAK ÇEŞME BÜFE (E),BAHÇELİEVLER,Çoban çeşme,Mithatpaşa caddesi ile can sokak kesişimi park içi,B
MEVLANA 1 BÜFE (E),BAHÇELİEVLER,kocasinan merkez,Ahmet yesevi caddesi mevlana camii yanı,B
SİYAVUŞPAŞA BÜFE (E),BAHÇELİEVLER,Siyavuşpaşa,Barboros caddesi milli egemnelik parkı önü,B
SOĞANLI 1 BÜFE (E),BAHÇELİEVLER,Soğanlı,Mimar sinan caddesi levent kırca parkı üstü,B
SOĞANLI 2 BÜFE (E),BAHÇELİEVLER,Soğanlı,serbaş sokak ile nevruz sokak kesişimi trafo yanı,B
ŞİRİNEVLER 1 BÜFE (E),BAHÇELİEVLER,Şirinevler,Dereboyu caddesi yıldız zöhre camii önü,B
ŞİRİNEVLER 2 BÜFE (E),BAHÇELİEVLER,Şirinevler,Ş Zihni İlk. Öğr. Okulu Yanı Dereyolu Cad. Yeşilyurt Sk.,B
TEMEL BÜFE (E),BAHÇELİEVLER,Şirinevler,Şirinevler Halk Pazarı Önü Barbaros Cad. Zeki Müren Sk.,B
UMUT BÜFE (E),BAHÇELİEVLER,Zafer,Yenibosna Zafer Mah. Cami Sk. Merkez Camii Karşısı,B
ÜÇEVLER CAMİ BÜFE (E),BAHÇELİEVLER,Kocasinan,Mahmutbey caddesi ile üçevler cami sokak kesişimi Üçevler yeni camii önü,B
YAYLA BÜFE (E),BAHÇELİEVLER,Bahçelievler,Fevzi çakmak caddesi iş bankası karşısı,B
YENİBOSNA BÜFE (E),BAHÇELİEVLER,Zafer,Yenibosna Zafer Mah. Gümüş Sk. No: 1-A,B
İNCİ GIDA (E),BAHÇELİEVLER,SOĞANLI MAH.,SANCAKTEPE SK.NO:5/4,S
ADİL EMECEN-BAYİİ (E),BAHÇELİEVLER,CUMHURİYET MAH.,YENER SOK. NO:2/1,S
AKGENÇ GIDA (E),BAHÇELİEVLER,SİYAVUŞPAŞA MAH.,ULUBATLI HASAN CAD.NO:43/A,S
HAZAL GIDA (E),BAHÇELİEVLER,YENİBOSNA MERKEZ MAH,SİTE SOK.NO:3/G,S
RADAR BAYİİ (E),BAHÇELİEVLER,FATİH CAD.,ÇOBANÇEŞME MAH.MUŞTU SOK.NO:113,S
RECEP AKBAYTÜRK-BAYİİ (E),BAHÇELİEVLER,SOĞANLI MAH.,GÜRBÜZ SOK. NO:2/A,S
SELİN GIDA (E),BAHÇELİEVLER,ŞİRİNEVLER MAH.,MEYDANI ÜST GEÇİT YANI,S
SEZAİ ALKIZ-BAYİ (E),BAHÇELİEVLER,SOĞANLI MAH.,ÜLKÜ SK. NO:11 D,S
YILMAZ GIDA (E),BAHÇELİEVLER,SİYAVUŞPAŞA MAH.,MUSTAFA KEMALPAŞA CAD.NEHİR SK.NO:,S
DİKİLİTAŞ BÜFE (E),BAKIRKÖY,Zuhuratbaba,İncirli Caddesi ile yüce tarla caddesi kesişimi,S
İNCİRLİ METRO BÜFE (E),BAKIRKÖY,Osmaniye,İncirli Metro Önü,S
OSMANİYE BÜFE (E),BAKIRKÖY,Osmaniye,Fabrikalar caddesi ile bildik sokak kesişimi,S
RÖNE PARK BÜFE (E),BAKIRKÖY,YEŞİLKÖY,İSTANBUL CAD.RÖNEPARK İÇİ,B
AHMET COŞAR-BAYİ (E),BAKIRKÖY,ZEYTİNLİK MAH.,GENÇLER CAD. KİTAPÇILAR KÖPRÜSÜ YANI NO.1/2,S
İBRAHİM ERDEM-DİLBA GIDA (E),BAKIRKÖY,KARTALTEPE MAH.,KOŞUYOLU CAD. NO.12,S
KALE GIDA (E),BAKIRKÖY,ŞENLİKKÖY MAH.,KIRSERDAR SOK.NO:83/2,S
UYUM GIDA (E),BAKIRKÖY,KARTALTEPE MAH,ÜLKÜ SK NO 11,S
YASİN ERDEM-BAYİ (E),BAKIRKÖY,KARTALTEPE MAH.,AVNİYE SOK. NO.2/1,S
AKİF İNAN BÜFE,BAŞAKŞEHİR,BAŞAKŞEHİR MAH.,ONURKENT MİMAR KEMALETTİN BULVARI 2/1,B
AYAZMA BÜFE,BAŞAKŞEHİR,ZİYA GÖKALP MAH.,,B
Başak 2 büfe,BAŞAKŞEHİR,Başakşehir,1.etap istiklal cd sncak sk köşesi,B
Başak 4 büfe,BAŞAKŞEHİR,Başakşehir,Mevlana celallddin-i rumi cd.l otobüs durağı yanı,B
Başak center büfe,BAŞAKŞEHİR,başak mah.,"yeşilvadi cd,başak center çarşı karşısı",B
Başakşehir 1,BAŞAKŞEHİR,Küçükçekmece Başakşehir,1. Etap İstiklal cd.cihangir.sk.,B
Bayramtepe büfe,BAŞAKŞEHİR,Güvercintepe mah.,Tuna cd gülay sk no 75,B
Fenertepe 1 büfe,BAŞAKŞEHİR,Kayabaşı mah.,Fenertepe 11.bölge camii yanı,B
Fenertepe 2 büfe,BAŞAKŞEHİR,Kayabaşı mah.,Fenertepe 14.bölge orhangazi i.ö.okulu önü,B
Fenertepe 3 büfe,BAŞAKŞEHİR,Kayabaşı mah.,Fenertepe 17.bölge iett durağı yanı,B
Göçmen konutları büfe,BAŞAKŞEHİR,başak mah.,Göçmen konutları cumhuriyet cd,B
Kayaşehir 1 büfe,BAŞAKŞEHİR,Kayabaşı mah.,Rabia cd mer.kayaşehir iett durağı yanı,B
Kayaşehir 2 büfe,BAŞAKŞEHİR,Kayabaşı mah.,"Toki kayabaşı konutları cd, elmas sitesi elmas iett durağı yanı",B
Kayaşehir 3 büfe,BAŞAKŞEHİR,Kayabaşı mah.,Şehit mustafa gencel sk no 3/1,B
Kayaşehir 5 büfe,BAŞAKŞEHİR,Kayabaşı mah.,9.bölge şehit semih balaban cd,B
Onurkent,BAŞAKŞEHİR,Başakşehir,BAŞAKŞEHİR ONURKENT OLİMPA ÇARŞISI KARŞISI,B
SAĞLAM BÜFE,BAŞAKŞEHİR,KAYABAŞI,KAYAŞEHİR MAH. 24. BÖLGE İÇİ GÖKÇEADA CAD. SAAT KULESİ KARŞISI,B
Şahintepe 1 büfe,BAŞAKŞEHİR,Şahintepe mah,şahintepe mah.şafak sk np 6,B
Şahintepe 2 büfe,BAŞAKŞEHİR,Şahintepe mah.,Uğurmumcu cd yalçın sk köşesi,B
ŞAHİNTEPE 3 BÜFE,BAŞAKŞEHİR,ŞAHİNTEPE MAH.,İSTİKLAL CAD.NO:7(ALTINŞEHİR MERKEZ CAMİİ ÖNÜ),B
Vadi center büfe,BAŞAKŞEHİR,başak mah.,4.etap 1.kısım 1259/1 ada karanfil sk girişi,B
VADİTEPE 1 BÜFE,BAŞAKŞEHİR,BAHÇEŞEHİR 1.KISIM MAH,ISPARTAKULE CD.NO:37,B
Yeşilvadi büfe,BAŞAKŞEHİR,başak mah.,"Yeşilvadi bulvarı,deprem konutları önü",B
COŞKUN GIDA,BAŞAKŞEHİR,ZİYA GÖKALP MAH.,ATATÜRK CD.NO 59,S
ENES BEY KASAP,BAŞAKŞEHİR,GÜVERCİNTEPE MAH.,GÜVERCİNTEPE MAH. AHMET YESEVİ CAD.NO:109/A B.ŞEHİR,S
HALK MARKET,BAŞAKŞEHİR,,GÜVERCİNTEPE MAH FATİH CD NO 176,S
İSTANBUL GIDA,BAŞAKŞEHİR,KAYABAŞI MAH.,"Toki kayabaşı konutları cd, 15.bölge iett durağı yanı",S
ONUR GIDA,BAŞAKŞEHİR,ŞAHİNTEPE MAH,KARTAL SK NO 90,S
ÖZDEN PEYNİRCİLİK,BAŞAKŞEHİR,ŞAHİNTEPE MAH,ŞAHİNTEPE MAH.İSTANBUL CAD.NO:238,S
ALTINTEPSİ 1 BÜFE (E),BAYRAMPAŞA,Altıntepsi,Altıntepsi Mh. Ordu Cad. No:4,B
ALTINTEPSİ 2 BÜFE (E),BAYRAMPAŞA,Altıntepsi,Altıntepsi Mh. Sağlık Ocağı Yanı,B
BAYRAMPAŞA 1 BÜFE (E),BAYRAMPAŞA,Ortamahalle,Demirkapı Cad. merkez camii arkası,B
BAYRAMPAŞA STAD BÜFE (E),BAYRAMPAŞA,Altıntepsi,Altıntepsi Mah. Uygur Cad. Spor Kulübü Yanı,B
CEVATPAŞA 1 BÜFE (E),BAYRAMPAŞA,Cevatpaşa,Cevatpaşa Mah. Muhtarlık Yanı,B
